,source,target
1869,1643,76
1870,1643,77
1871,1644,94
1872,1646,116
1873,1646,205
1874,1648,121
1875,1649,94
1876,1649,107
1877,1649,195
1878,1650,94
1879,1653,183
1880,1653,107
1881,1653,195
1882,1653,94
1883,1653,187
1884,1653,185
1885,1653,122
1886,1653,126
1887,1655,94
1888,1656,94
1889,1656,161
1890,1656,183
1891,1660,94
1892,1660,67
1893,1660,131
1894,1662,94
1895,1662,67
1896,1662,131
1897,1662,110
1898,1662,200
1899,1662,119
1900,1662,199
1901,1662,113
1902,1662,202
1903,1666,119
1904,1666,199
1905,1666,120
1906,1667,94
1907,1667,67
1908,1667,131
1909,1667,89
1910,1667,146
1911,1668,196
1912,1670,116
1913,1670,205
1914,1675,94
1915,1675,183
1916,1675,103
1917,1676,94
1918,1677,89
1919,1677,94
1920,1679,119
1921,1679,199
1922,1683,94
1923,1687,94
1924,1689,67
1925,1689,131
1926,1690,110
1927,1690,200
1928,1692,123
1929,1692,94
1930,1692,272
1931,1693,94
1932,1693,119
1933,1693,199
1934,1697,94
1935,1698,94
1936,1698,107
1937,1698,195
1938,1698,67
1939,1698,131
1940,1699,94
1941,1700,94
1942,1700,67
1943,1700,131
1944,1700,183
1945,1701,94
1946,1701,123
1947,1701,122
1948,1701,126
1949,1702,94
1950,1703,94
1951,1704,123
1952,1705,94
1953,1707,103
1954,1707,94
1955,1714,94
1956,1715,94
1957,1717,94
1958,1717,107
1959,1717,195
1960,1719,94
1961,1720,106
1962,1720,197
1963,1721,94
1964,1723,94
1965,1724,94
1966,1728,94
1967,1730,94
1968,1730,107
1969,1730,195
1970,1732,183
1971,1733,94
1972,1733,119
1973,1733,199
1974,1733,110
1975,1733,200
1976,1735,107
1977,1735,195
1978,1748,94
1979,1752,97
1980,1753,94
1981,1753,67
1982,1753,131
1983,1753,116
1984,1753,205
1985,1753,119
1986,1753,199
1987,1753,110
1988,1753,200
1989,1753,107
1990,1753,195
1991,1753,106
1992,1753,197
1993,1754,94
1994,1754,116
1995,1754,205
1996,1756,110
1997,1756,200
1998,1756,112
1999,1756,201
2000,1758,94
2001,1759,107
2002,1759,195
2003,1760,94
2004,1762,94
2005,1762,67
2006,1762,131
2007,1763,94
